SDG_label;fos_id;fos_name;
SDG_1;527821871;Access control;
SDG_1;2910993999;Anti-poverty program;
SDG_1;2778151340;Asset poverty;
SDG_1;196777733;Basic needs;
SDG_1;178511221;Basic service;
SDG_1;2779597210;Begging;
SDG_1;3019853531;Below poverty line;
SDG_1;2779575352;Bottom of the pyramid;
SDG_1;2778502840;Cash transfers;
SDG_1;2781044819;Child poverty;
SDG_1;3019115872;Childhood poverty;
SDG_1;2908737072;Concentrated Disadvantage;
SDG_1;2778754916;Concentrated poverty;
SDG_1;2779490853;Conditional cash transfer;
SDG_1;178377140;Culture of poverty;
SDG_1;2781384209;Cycle of poverty;
SDG_1;2779501705;Disability and poverty;
SDG_1;2780750338;Disaster risk reduction;
SDG_1;2776605987;Diseases of poverty;
SDG_1;43609274;Disinvestment;
SDG_1;2778096659;Distribution of wealth;
SDG_1;2909509366;Economic deprivation;
SDG_1;513380476;Economic inequality;
SDG_1;2779566690;Economic mobility;
SDG_1;553381038;Extreme poverty;
SDG_1;2778882308;Feminization of poverty;
SDG_1;2910997320;Food Assistance Programs;
SDG_1;2908621740;Food Stamp Program;
SDG_1;3017755267;Food aid;
SDG_1;2992595674;Food assistance;
SDG_1;2992323265;Food bank;
SDG_1;2994452890;Food basket;
SDG_1;2993342163;Food insecurity;
SDG_1;3019970365;Food insufficiency;
SDG_1;2779363069;Food policy;
SDG_1;2994385754;Food poverty;
SDG_1;2779957034;Food prices;
SDG_1;2909895442;Food relief;
SDG_1;2910435018;Food stamps;
SDG_1;2781094592;Frugal innovation;
SDG_1;2778806008;Gender and food security;
SDG_1;2994533747;Gender inequality;
SDG_1;2779813301;Global Acute Malnutrition;
SDG_1;2781116641;Guaranteed minimum income;
SDG_1;2781436281;HOPE VI;
SDG_1;2778890030;Head count ratio;
SDG_1;2777553175;Head of Household;
SDG_1;3020038652;High poverty;
SDG_1;2910838356;Homeless family;
SDG_1;2908916908;Inadequate housing;
SDG_1;2776615708;Inclusive growth;
SDG_1;2778068430;Income deficit;
SDG_1;519300510;Income distribution;
SDG_1;45555294;Inequality;
SDG_1;133925201;Life expectancy;
SDG_1;82341920;Lumpenproletariat;
SDG_1;2781311888;Mean log deviation;
SDG_1;2775950104;Measuring poverty;
SDG_1;2780761588;Median income;
SDG_1;3018114213;Micro credit;
SDG_1;2992021695;Micro finance;
SDG_1;28129649;Microfinance;
SDG_1;2777262119;Microinsurance;
SDG_1;2777533032;Moving to Opportunity;
SDG_1;2778661615;Multidimensional Poverty Index;
SDG_1;3019992330;Multidimensional poverty;
SDG_1;3017930926;Neighborhood poverty;
SDG_1;2779246405;Participatory poverty assessment;
SDG_1;2779584631;Pauperism;
SDG_1;2780899237;Pension;
SDG_1;3020110719;Poor people;
SDG_1;2780456498;Poor relief;
SDG_1;189326681;Poverty;
SDG_1;2910993519;Poverty Areas;
SDG_1;2778727652;Poverty gap index;
SDG_1;2776905528;Poverty law;
SDG_1;3017910513;Poverty level;
SDG_1;2780290423;Poverty map;
SDG_1;3020146199;Poverty measurement;
SDG_1;3020798462;Poverty rate;
SDG_1;2992104146;Poverty reduction;
SDG_1;2908684656;Poverty status;
SDG_1;2775939779;Poverty-Growth-Inequality Triangle;
SDG_1;3020528475;Pro poor;
SDG_1;15553842;Proletariat;
SDG_1;2776751285;Public distribution system;
SDG_1;2909482212;Public housing resident;
SDG_1;2778516963;Relative deprivation;
SDG_1;2910644676;Remunerative employment;
SDG_1;2777608298;Right to food;
SDG_1;129047720;Rural area;
SDG_1;3019587353;Rural dwellers;
SDG_1;2993166291;Rural economy;
SDG_1;2779653078;Rural housing;
SDG_1;2992337253;Rural income;
SDG_1;2994526152;Rural society;
SDG_1;2778216598;Safety net;
SDG_1;2778561184;Shanty town;
SDG_1;204208750;Short run;
SDG_1;2778631157;Slum;
SDG_1;2993049015;Slum area;
SDG_1;2909789161;Slum housing;
SDG_1;2778343834;Slum upgrading;
SDG_1;68062652;Social capital;
SDG_1;165148211;Social inequality;
SDG_1;2776893239;Social isolation;
SDG_1;2777433830;Social protection;
SDG_1;2777857893;Social protection floor;
SDG_1;2781304125;Social risk management;
SDG_1;142077812;Standard of living;
SDG_1;2911148093;Subemployment;
SDG_1;2994404737;Sustainable food production;
SDG_1;2780393519;Tent city;
SDG_1;2778430866;Unbanked;
SDG_1;2778408412;Underbanked;
SDG_1;2776465305;Underclass;
SDG_1;2993137673;Urban poverty;
SDG_1;186191158;Vulnerability;
SDG_1;2781069661;Vulnerability index;
SDG_1;2994086107;Wage inequality;
SDG_1;2992390665;Wealth distribution;
SDG_1;2778976928;Welfare dependency;
SDG_1;2911219547;Welfare program;
SDG_1;2909647022;Working Woman;
SDG_1;2776572681;Working poor;
SDG_1;2778140607;e-social science;
SDG_2;3020296344;15n balance;
SDG_2;139326070;5:2 diet;
SDG_2;2780982499;Abalone;
SDG_2;2778163119;Acid sulfate soil;
SDG_2;2779590308;Acropora;
SDG_2;167393769;Adaptive strategies;
SDG_2;56095865;Afforestation;
SDG_2;2778897056;African Convention on the Conservation of Nature and Natural Resources;
SDG_2;2909380268;African swine fever;
SDG_2;2778368945;Agreement on Agriculture;
SDG_2;141151480;Agricultural biodiversity;
SDG_2;2780367213;Agricultural biotechnology;
SDG_2;2984704726;Agricultural crops;
SDG_2;22344907;Agricultural diversification;
SDG_2;2994548865;Agricultural intensification;
SDG_2;2994553254;Agricultural management;
SDG_2;2776574334;Agricultural robot;
SDG_2;2992831405;Agricultural statistics;
SDG_2;2993212356;Agricultural system;
SDG_2;3020429347;Agro biodiversity;
SDG_2;40667233;Agroecological restoration;
SDG_2;2780167305;Agrometeorology;
SDG_2;2778327988;Albacore;
SDG_2;2993432003;Alley cropping;
SDG_2;12064787;Alternative stable state;
SDG_2;2988944400;Amazon basin;
SDG_2;2992172967;Amazon floodplain;
SDG_2;2994417038;Amazon forest;
SDG_2;2992632426;Amazon rain forest;
SDG_2;535291247;Amazon rainforest;
SDG_2;2993452528;Amazon river basin;
SDG_2;2780001261;Amazonian;
SDG_2;2910188331;American shad;
SDG_2;2776259809;Ammophila arenaria;
SDG_2;2779621508;Amsterdam albatross;
SDG_2;2781348932;Anatidae;
SDG_2;2777833858;Anchoa;
SDG_2;2778525234;Anchovy;
SDG_2;2779325724;Anguillidae;
SDG_2;2016182;Animal breeding;
SDG_2;509243982;Animal feed;
SDG_2;2780492159;Animal feeding operation;
SDG_2;42435023;Animal nutrition;
SDG_2;2777189468;Anthracology;
SDG_2;2910294407;Apple extract;
SDG_2;513806601;Applied ecology;
SDG_2;143837700;Aquaculture of coral;
SDG_2;87709641;Aquatic science;
SDG_2;2994527806;Arid ecosystems;
SDG_2;2776499504;Artificial reef;
SDG_2;2993685944;Artificial reefs;
SDG_2;2780111930;Artisanal fishing;
SDG_2;181268634;Aseptic processing;
SDG_2;117480383;Atoll;
SDG_2;2909396454;BMI - Body mass index;
SDG_2;2778333957;Baby food;
SDG_2;2910708160;Bacterial Physiological Phenomena;
SDG_2;134643618;Bagasse;
SDG_2;2992353273;Baltic basin;
SDG_2;2986433049;Baltic sea;
SDG_2;3019361399;Barrier reef;
SDG_2;2777182073;Bass (fish);
SDG_2;115880899;Bay;
SDG_2;154098486;Big-game fishing;
SDG_2;2779944326;Bigeye tuna;
